Bier_ID,Bier_name,Trinktemperatur,Alkohol,Kalorien_je_100ml,Stammwuerze,Beschreibung
B0001,Affligem Blonde,7,6.8,56,"15,4°","Sechs Ritter tauschten ihr Rüstungen gegen schlichte Mönchskutten und gründeten im Jahr 1074 im Herzen von Belgien die Abtei von Affligem. Seit jener Zeit wird dort ein Bier gebraut, bis heute unverändert in der Rezeptur. Es zählt zu den ältesten von nur 22 Abteibieren weltweit. Was es aber so ganz besonders macht, ist die zweite Gärungsphase - direkt in der Flasche. Affligem Blonde ist eine leuchtend-goldgelbe Spezialität. Geruch nach frischem Brot, Zitrusfrüchten und einem Hauch Vanille. Im Geschmack feine Nuancen von Marzipan und Mandel, mit einer leichten Bittere im Abgang. Entfaltet sich am besten im Markenglas, aber auch in einem Rotweinglas."
B0002,Affligem Double,7,6.8,57,"15,4°","Sechs Ritter tauschten ihr Rüstungen gegen schlichte Mönchskutten und gründeten im Jahr 1074 im Herzen von Belgien die Abtei von Affligem. Seit jener Zeit wird dort ein Bier gebraut, bis heute unverändert in der Rezeptur. Es zählt zu den ältesten von nur 22 Abteibieren weltweit. Was es aber so ganz besonders macht, ist die zweite Gärungsphase - direkt in der Flasche. Das Affligem Double ist edel rötlich-braun schimmernd, mit einem Geruch, der an Anis, Rosinen, Bananen und Nelke erinnert. Mit einem leicht karamelligen Geschmack, fein prickelnd und einem würzigen Aroma. Entfaltet sich am besten im Markenglas, aber auch in einem Rotweinglas."
B0003,Bierspezialitäten Bernstein,8,4.1,45,"12,1°","Die Bierspezialität ""Bernstein"" ist ein leichtes, aber dichtes Bier mit vollmundigem Auftritt. Mit einer Rezeptur, die schon mehr als 350 Jahre alt ist, ist das Bernstein ein ganz besonderes Stück österreichische Brautradition. Die würzige Note hat einen besonderen Ursprung: Das Beifügen einer kleinen Menge heißer Bierwürze zur Reifung des Jungbieres führt zu diesem einzigartigen unvergleichlichen Geschmack."
B0004,Bierspezialitäten Oktoberbräu,8,5.2,44,"12,2°","Oktoberbräu ist ein spezielles, dunkleres Bier im bayrischen Stil für den Spätsommer und Herbst. Es strahlt in einem dunklen Bernstein, ist würzig, voll und süffig mit durchgehend dezenter Hopfennote. Das Oktoberbräu ist verfügbar ab September - nur solange der Vorrat reicht."
B0005,Bierspezialitäten Winterbock,9,7.1,45,"16,2°","Das Malzaroma des Winterbockes und sein charaktervoller Geschmack sind Ausdruck seiner Stärke. Sein lang anhaltender und kraftvoller Abgang zeichnen dieses festliche Vergnügen aus. Nach heimischer Tradition wird das untergärige, helle Starkbier ausschließlich für die Vorweihnachtszeit gebraut. Der Winterbock ist verfügbar ab Oktober - nur solange der Vorrat reicht."
B0006,Desperados Original,6,5.9,60,"15,2°","Tequila Flavoured Beer, mit einem Hauch von Exotik, intensiv im Geschmack und verdammt gut zu trinken."
B0007,Desperados Verde,6,4.7,51,13°,Desperados Verde ist Tequila Flavoured Beer kombiniert mit Limette und erfrischender Minze.
B0008,Edelweiss Alkoholfrei,5,0.4,32,"7,6°","Das Edelweiss Alkoholfrei ist naturtrüb mit einem warmen bernsteinfarbenen Farbton. Die alkoholfreie Weißbierspezialität begeistert durch zarte Röstaromen, komplexer Karamellnote und lebendiger Fruchtigkeit aus reifen Bananen und einem Hauch Dörrpflaume."
B0009,Edelweiss Dunkel,7,5.3,47,"12,3°","Das Edelweiss Dunkel ist naturtrüb und leuchtet im Glas kastanienbraun. Der Geschmack erinnert an Vanille-, Zimt- und Röstmalzaromen. Am Gaumen dicht, und im Nachtrunk besonders würzig."
B0010,Edelweiss Gamsbock,9,7.1,58,"16,2°","Der Edelweiss Gamsbock ist eine hefetrübe goldgelbe Weizenbierbock-Spezialität mit kräftigem Charakter, besonders vollmundigem Geschmack und ausgeprägten weizenbiertypischen Noten. Der Edelweiss Gamsbock ist verfügbar ab Oktober - nur solange der Vorrat reicht."
B0011,Edelweiss Hefetrüb,7,5.3,48,"12,3°",Das Edelweiss Hefetrüb ist naturtrüb Goldgelb und besonders fruchtig mit leichter Bananen-Nase. Erfrischend feinprickelnd besticht dieses Weißbier durch gewürzhafte Aromen am Gaumen.
B0012,Edelweiss Hoamat Radler,5,2.3,44,"10,8°","Der naturtrübe Weizenbier Radler überzeugt durch eine erfrischend-fruchtige Komposition aus bestem Edelweiss Weizenbier und dem Saft heimischer Birnen, verfeinert mit erfrischender Zitronenmelisse. Feinprickelnd besticht der Radler durch sein volles Aroma, ohne künstliche Zusatzstoffe und geringem Alkoholgehalt."
B0013,Edelweiss Hofbräu,7,4.5,45,"11,8°",Das Edelweiss Hofbräu ist naturtrüb bernsteinfarben und geprägt von vollreifen Bananenaromen sowie fein eingebundener Kohlensäure am Gaumen. Es besticht durch besondere Vollmundigkeit im Nachtrunk.
B0014,Gösser Bock,9,7.1,58,"16,2°","Sein intensives Malzaroma und sein charaktervoller Geschmack sind Ausdruck seiner Stärke. Sein lang anhaltender und kraftvolle Abgang zeichnen dieses festliche Vergnügen aus. Nach steirischer Tradition wird das untergärige, helle Starkbier ausschließlich für die Weihnachtszeit gebraut. Der Gösser Bock ist verfügbar ab Oktober - nur solange der Vorrat reicht."
B0015,Gösser Dunkles Zwickl,8,5.7,50,"13,2°","Schon der Duft nach Honig und nach leichten Röstaromen zeichnet diese dunkle, naturtrübe Bierspezialität mit feinporiger, chamois-farbener Schaumkrone aus. Der Geschmack des Dunklen Zwickl wird durch die weiche und blumige Hopfennote hervorragend balanciert. Das Gösser Dunkles Zwickl ist verfügbar von September bis Mai - nur solange der Vorrat reicht."
