Lokal_ID,Lokalname,bierID,geo_latitude,geo_longitude,Beschreibung
L0001,Aida,,48.2080194,16.63720473,Aida ist eine Wiener Konditoreikette. Das Design der 50er 60er und 70er opulente Süßspeisen hervorragender Kaffee und viel Rosa sind die Zutaten zum Erfolg.
L0002,Altmann & Kühne,,48.2083379,16.63709213,"Die „kleinste Verführung"" Wiens: handgefertigte Bonbons nach alten Originalrezepten (weltweiter Versand!). "
L0003,Anna Sacher,,48.2038663,16.63697551,Facettenreich wie der Charakter seiner Namensgeberin präsentiert sich dieses 2-Hauben-Restaurant
L0004,B72,B0019;B0072,48.2112571,16.63478654,Eines der angesagtesten Lokale am Gürtel unter der U-Bahn. Besonderheit: zweistöckig. Live-Musik und DJs
L0005,Babenberger Passage,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.2033453,16.63627575,In einer aufgelassenen Fußgänger-Unterführung hat sich ein Club der besonderen Art etabliert der mit futuristischem Interieur besticht.
L0006,Badeschiff,B0019;B0072 ;B0039,48.21161138,16.63810629,Am Oberdeck des fest verankerten Stadtbads auf zwei Schiffen verlockt der überdachte Pool zum Schwimmen im angenehm temperierten Wasser. Die wahre Attraktion verbirgt sich allerdings unter Deck: Der ehemalige Laderaum ist jetzt Dancefloor zum coolen Abtanzen unterhalb der Wasserlinie.
L0007,Barfly's,B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072;B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072,48.1968887,16.63490578,Eine Hotelbar nahe der Mariahilfer Straße in der alles klassisch ist.
L0008,Café Berg,B0019;B0072,48.2176676,16.63609186,"Das Café und die daneben ansässige Buchhandlung ""Löwenherz"" sind fixer Treffpunkt der Wiener Homosexuellen-Community und ihrer Freunde."
L0009,Café Central,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.210196,16.6365431,Das Café Central war immer wieder Heimat großer Dichter Lenker und Denker. Der Charme des berühmtesten Kaffeehauses der Welt macht jeden Besuch zu einem besonderen kulinarischen Erlebnis.
L0010,Café Diglas,B0019;B0072,48.2086116,16.63752607,Ein Wiener Traditionscafé im Zentrum der Stadt. Hier wird Genuss groß geschrieben vom Frühstück bis zum Dinner gibt’s zu jeder Tageszeit das passende Angebot.
